,Unit No.,Tower Name,Status,Last Contract End Date,Days Vacant,Last Known Rent,Sale Date (if any)
54,3202,"Paramount Tower Hotel & Residences, Business Bay",Becoming Vacant in 30 Days,2025-06-06,,280000,
61,3215,"Paramount Tower Hotel & Residences, Business Bay",Becoming Vacant in 30 Days,2025-06-22,,126000,
111,3913,"Paramount Tower Hotel & Residences, Business Bay",Becoming Vacant in 30 Days,2025-06-07,,90000,
155,4413,"Paramount Tower Hotel & Residences, Business Bay",Becoming Vacant in 30 Days,2025-06-30,,80000,
169,4613,"Paramount Tower Hotel & Residences, Business Bay",Becoming Vacant in 30 Days,2025-06-19,,110000,
200,5007,"Paramount Tower Hotel & Residences, Business Bay",Becoming Vacant in 30 Days,2025-06-14,,220000,
210,5107,"Paramount Tower Hotel & Residences, Business Bay",Becoming Vacant in 30 Days,2025-06-14,,220000,
255,5703,"Paramount Tower Hotel & Residences, Business Bay",Becoming Vacant in 30 Days,2025-06-30,,130000,
73,3410,"Paramount Tower Hotel & Residences, Business Bay",Becoming Vacant in 60 Days,2025-07-31,,110000,
141,4307,"Paramount Tower Hotel & Residences, Business Bay",Becoming Vacant in 60 Days,2025-07-31,,180000,
144,4312,"Paramount Tower Hotel & Residences, Business Bay",Becoming Vacant in 60 Days,2025-07-23,,58032,
188,4813,"Paramount Tower Hotel & Residences, Business Bay",Becoming Vacant in 60 Days,2025-08-02,,110000,
259,5708,"Paramount Tower Hotel & Residences, Business Bay",Becoming Vacant in 60 Days,2025-07-19,,220000,
272,5902,"Paramount Tower Hotel & Residences, Business Bay",Becoming Vacant in 60 Days,2025-07-06,,90000,
273,5903,"Paramount Tower Hotel & Residences, Business Bay",Becoming Vacant in 60 Days,2025-07-21,,91036,
9,2701,"Paramount Tower Hotel & Residences, Business Bay",Becoming Vacant in 90 Days,2025-08-11,,103000,
29,2815,"Paramount Tower Hotel & Residences, Business Bay",Becoming Vacant in 90 Days,2025-08-06,,122000,
58,3210,"Paramount Tower Hotel & Residences, Business Bay",Becoming Vacant in 90 Days,2025-08-24,,91000,
121,4013,"Paramount Tower Hotel & Residences, Business Bay",Becoming Vacant in 90 Days,2025-08-31,,95000,
124,4107,"Paramount Tower Hotel & Residences, Business Bay",Becoming Vacant in 90 Days,2025-08-11,,180000,
157,4507,"Paramount Tower Hotel & Residences, Business Bay",Becoming Vacant in 90 Days,2025-09-01,,260000,
191,4907,"Paramount Tower Hotel & Residences, Business Bay",Becoming Vacant in 90 Days,2025-08-09,,180000,
209,5106,"Paramount Tower Hotel & Residences, Business Bay",Becoming Vacant in 90 Days,2025-08-20,,175000,
20,2803,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Recently Sold),2024-04-06,,118000,2024-05-08
21,2804,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Recently Sold),2024-08-05,,140000,2025-05-26
31,2903,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Recently Sold),2024-09-26,,175000,2024-12-23
37,2911,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Recently Sold),2024-04-24,,105000,2024-09-15
60,3213,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Recently Sold),2023-06-30,,120000,2024-10-14
91,3608,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Recently Sold),2023-10-25,,250000,2025-03-04
106,3905,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Recently Sold),2024-03-31,,65334,2024-09-19
114,4004,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Recently Sold),2023-09-14,,120000,2024-12-18
118,4009,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Recently Sold),2023-11-13,,150000,2025-02-23
126,4111,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Recently Sold),2023-10-01,,110000,2024-11-12
146,4401,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Recently Sold),2024-01-19,,150000,2024-12-29
151,4408,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Recently Sold),2024-04-30,,210000,2025-03-16
154,4412,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Recently Sold),2023-12-29,,120000,2024-04-25
182,4803,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Recently Sold),2023-08-11,,118000,2024-03-04
197,5002,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Recently Sold),2023-10-07,,118000,2024-06-06
206,5102,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Recently Sold),2023-09-01,,130000,2024-02-25
213,5110,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Recently Sold),2024-06-30,,132000,2024-12-08
217,5202,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Recently Sold),2023-09-24,,120000,2024-12-11
240,5413,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Recently Sold),2023-12-30,,81000,2025-04-28
248,5512,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Recently Sold),2024-04-30,,90000,2025-03-27
249,5512,"Paramount Tower Hotel & Residences, Business Bay",Not Vacant (Recently Sold),2024-04-30,,90000,2024-08-29
